,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
East Asia,East Asia,LOC,0.16208791,0.94597070,en,2.60000000,,-1,,,,,,
the US West,the US West,LOC,0.07142857,0.27838828,en,2.60000000,,-1,,,,,,
Kolkata,Kolkata,GPE,0.09238539,0.66261655,en,2.60000000,4029344-0,1275004,X,22.56262900,88.36303900,ASIA,India,SAS
Rajkot,Rajkot,GPE,0.18347724,0.41777865,en,2.60000000,,-1,,,,,,
Mecca,Mecca,GPE,0.28846154,0.67307692,en,2.60000000,4038514-0,104515,X,21.42638800,39.82555500,ASIA,Saudi Arabia,ARP
Hokkaido,Hokkaido,GPE,0.57692308,0.57692308,en,2.60000000,,-1,,,,,,
Western US,Western US,LOC,0.00000000,0.00000000,en,2.60000000,,-1,,,,,,
Peninsula,Peninsula,LOC,-0.46153846,0.86538462,en,2.60000000,,-1,,,,,,
the South Pole,the South Pole,LOC,-0.23076923,1.00000000,en,2.60000000,,-1,,,,,,
Northern,Northern,LOC,0.00000000,0.38461538,en,2.60000000,,-1,,,,,,
Prague,Prague,GPE,0.13034188,0.44230769,en,2.60000000,4076310-9,3067696,X,50.08803900,14.42075900,EUROPE,Czechia,WCE
Kumamoto,Kumamoto,GPE,0.00961538,0.59615385,en,2.60000000,4382233-2,1858421,X,32.78972000,130.74166900,ASIA,Japan,EAS
Kerala,Kerala,GPE,0.03205128,0.79807692,en,2.60000000,4030266-0,1267254,X,10.00000000,76.50000000,ASIA,India,SAS
Kenya,Kenya,GPE,0.11858974,0.41266026,en,2.60000000,4030236-2,192950,X,1.00000000,38.00000000,AFRICA,Kenya,SEAF
the Czech Republic,the Czech Republic,GPE,0.07692308,0.23717949,en,2.60000000,,-1,,,,,,
Utah,Utah,GPE,0.12820513,0.50747863,en,2.60000000,4062214-9,5549030,X,39.25023900,-111.75103000,NORTH-AMERICA,United States,WNA
Senegal,Senegal,GPE,0.41315025,0.68444444,en,2.50000000,4054529-5,2245662,X,14.00000000,-14.00000000,AFRICA,Senegal,WAF
Mars,Mars,LOC,0.25440476,1.01357143,en,2.50000000,,-1,,,,,,
Kiev,Kiev,GPE,0.29633333,0.58266667,en,2.50000000,4030522-3,703448,X,50.45472200,30.52388800,EUROPE,Ukraine,WCE
Podil,Podil,GPE,0.50412698,0.84196825,en,2.50000000,,-1,,,,,,
NZ,NZ,GPE,-0.13541667,0.13541667,en,2.40000000,,-1,,,,,,
Venezuela,Venezuela,GPE,-0.03368056,0.96469907,en,2.40000000,4062512-6,3625428,X,8.00000000,-66.00000000,SOUTH-AMERICA,Venezuela,NSA
Sweden,Sweden,GPE,-0.04829545,0.50568182,en,2.40000000,4077258-5,2661886,X,62.00000000,15.00000000,EUROPE,Sweden,NEU
Kansas City,Kansas City,GPE,0.32440777,1.16113215,en,2.40000000,,-1,,,,,,
Jammu,Jammu,GPE,0.21174242,0.83844697,en,2.40000000,4387357-1,1269321,X,32.73568900,74.86911000,ASIA,India,WCA
IRELAND,IRELAND,GPE,0.20277778,0.76944444,en,2.40000000,,-1,,,,,,
Riverland,Riverland,LOC,0.13257576,0.51136364,en,2.40000000,,-1,,,,,,
Central Florida,Central Florida,LOC,0.04513889,0.64409722,en,2.40000000,,-1,,,,,,
Almeria,Almeria,GPE,-0.18055556,0.27777778,en,2.40000000,,-1,,,,,,
