,phrase,label,sentiment,subjectivity,language,count
Lori Osborne,Lori Osborne,PERSON,0.6538461538461539,0.717948717948718,en,1.3
Martha Stewart,Martha Stewart,PERSON,0.673076923076923,0.8589743589743589,en,1.3
My Chinchilla Is Overheating,My Chinchilla Is Overheating,PERSON,0.0,0.0,en,1.3
Marc-Antoine Laugier,Marc-Antoine Laugier,PERSON,-0.5769230769230769,1.1538461538461537,en,1.3
Juan Ma,Juan Ma,PERSON,0.0,0.0,en,1.3
Jo Powell,Jo Powell,PERSON,-0.07692307692307698,0.923076923076923,en,1.3
Michael Freilich,Michael Freilich,PERSON,0.1282051282051282,0.2564102564102564,en,1.3
the Earl Spencer,the Earl Spencer,PERSON,0.11538461538461539,0.6346153846153846,en,1.3
Ayanna Pressley,Ayanna Pressley,PERSON,0.0,0.0,en,1.3
Bill McKibben,Bill McKibben,PERSON,0.0,0.0,en,1.3
Harry Kane,Harry Kane,PERSON,-0.3076923076923077,1.0769230769230769,en,1.3
Alvin Kamara,Alvin Kamara,PERSON,0.22992424242424236,0.9684974747474745,en,1.2000000000000002
Kairat Almaty,Kairat Almaty,PERSON,0.8368055555555556,0.8055555555555556,en,1.2000000000000002
Alan Carr,Alan Carr,PERSON,-0.041666666666666664,1.1666666666666665,en,1.2000000000000002
Rob Gronkowski,Rob Gronkowski,PERSON,0.8333333333333333,0.9166666666666666,en,1.2000000000000002
Dave Portnoy,Dave Portnoy,PERSON,0.8333333333333333,0.9166666666666666,en,1.2000000000000002
Berry Crumb Cake,Berry Crumb Cake,PERSON,0.31249999999999994,0.6249999999999999,en,1.2000000000000002
Traice Davis,Traice Davis,PERSON,-0.24999999999999994,1.0833333333333333,en,1.2000000000000002
John August,John August,PERSON,0.0,0.0,en,1.2000000000000002
Scott Lamberson,Scott Lamberson,PERSON,0.0,0.0,en,1.2000000000000002
Gary Brecka,Gary Brecka,PERSON,1.625,1.2499999999999998,en,1.2000000000000002
Richard Sandoval,Richard Sandoval,PERSON,0.30681818181818177,0.4393939393939393,en,1.2000000000000002
Corey Toppin,Corey Toppin,PERSON,-0.24999999999999994,0.41666666666666663,en,1.2000000000000002
Aaron Sorkin,Aaron Sorkin,PERSON,-0.07070707070707073,0.893939393939394,en,1.2
William Fichtner,William Fichtner,PERSON,0.20833333333333334,0.75,en,1.2
Noe Diaz,Noe Diaz,PERSON,0.33333333333333337,0.5,en,1.2
fennec foxes,fennec foxes,PERSON,0.45833333333333337,1.2333333333333334,en,1.2
Michael Mann,Michael Mann,PERSON,0.2352272727272727,0.6715909090909091,en,1.2
Toffee Nut,Toffee Nut,PERSON,0.0,0.2976190476190476,en,1.2
Bam Adebayo,Bam Adebayo,PERSON,0.8333333333333334,0.8333333333333334,en,1.2
Ligin Joseph,Ligin Joseph,PERSON,-0.4166666666666667,0.8333333333333334,en,1.2
Heather McCalden,Heather McCalden,PERSON,0.07043650793650795,0.619047619047619,en,1.2
Jalen Duren,Jalen Duren,PERSON,-0.041666666666666685,0.7083333333333335,en,1.2
Mauricio Pochettino,Mauricio Pochettino,PERSON,0.43749999999999994,0.6041666666666667,en,1.2
Stephen Curry Talk Heats Up,Stephen Curry Talk Heats Up,PERSON,0.013888888888888886,0.3425925925925926,en,1.2
Eric Dane,Eric Dane,PERSON,0.2708333333333333,0.798611111111111,en,1.2
Nigel Dupree,Nigel Dupree,PERSON,0.4707792207792208,0.991883116883117,en,1.2
Hudson Williams,Hudson Williams,PERSON,1.1666666666666667,1.5,en,1.2
Hodaka Ace 90,Hodaka Ace 90,PERSON,-0.016233766233766232,0.3214285714285714,en,1.1
Greg Cope White,Greg Cope White,PERSON,0.27272727272727276,0.33333333333333326,en,1.1
Fine Gael,Fine Gael,PERSON,0.4106060606060606,0.6090909090909091,en,1.1
Marie Verdeil,Marie Verdeil,PERSON,0.0,0.0,en,1.1
